Dataset Name,Algorithm Name,Cross Validation [1 - 10],Hyper-Parameters Values,Accuracy,TPR,FPR, Precision,AUC,PR-Curve,Training Time,Inference Time
abalon, BROOF, 1, n_trees: 20 | M: 15 | , 0.61, 0.60, 0.20, 0.57, 0.81, 1.00, 21.98, 0.10
abalon, XGBoost, 1, n_trees: 20 | M: 15 | , 0.62, 0.61, 0.19, 0.59, 0.81, 1.00, 10.58, 0.00
abalon, BROOF, 2, n_trees: 15 | M: 10 | , 0.67, 0.66, 0.17, 0.65, 0.85, 1.00, 18.54, 0.05
abalon, XGBoost, 2, n_trees: 15 | M: 10 | , 0.66, 0.65, 0.17, 0.63, 0.84, 1.00, 10.66, 0.00
abalon, BROOF, 3, n_trees: 20 | M: 15 | , 0.63, 0.63, 0.18, 0.63, 0.80, 1.00, 21.04, 0.11
abalon, XGBoost, 3, n_trees: 20 | M: 15 | , 0.63, 0.63, 0.19, 0.63, 0.81, 1.00, 10.54, 0.00
abalon, BROOF, 4, n_trees: 20 | M: 10 | , 0.64, 0.64, 0.18, 0.66, 0.83, 1.00, 26.58, 0.07
abalon, XGBoost, 4, n_trees: 20 | M: 10 | , 0.65, 0.65, 0.17, 0.66, 0.83, 1.00, 10.63, 0.00
abalon, BROOF, 5, n_trees: 20 | M: 5 | , 0.60, 0.60, 0.20, 0.62, 0.81, 1.00, 21.88, 0.04
abalon, XGBoost, 5, n_trees: 20 | M: 5 | , 0.58, 0.58, 0.21, 0.60, 0.81, 1.00, 10.50, 0.00
abalon, BROOF, 6, n_trees: 20 | M: 5 | , 0.63, 0.62, 0.19, 0.61, 0.81, 1.00, 18.58, 0.04
abalon, XGBoost, 6, n_trees: 20 | M: 5 | , 0.66, 0.65, 0.17, 0.64, 0.82, 1.00, 10.50, 0.00
abalon, BROOF, 7, n_trees: 15 | M: 15 | , 0.70, 0.70, 0.15, 0.71, 0.86, 1.00, 25.88, 0.08
abalon, XGBoost, 7, n_trees: 15 | M: 15 | , 0.68, 0.68, 0.16, 0.70, 0.86, 1.00, 10.39, 0.01
abalon, BROOF, 8, n_trees: 15 | M: 10 | , 0.60, 0.60, 0.20, 0.60, 0.80, 1.00, 23.35, 0.06
abalon, XGBoost, 8, n_trees: 15 | M: 10 | , 0.62, 0.62, 0.19, 0.62, 0.81, 1.00, 10.47, 0.00
abalon, BROOF, 9, n_trees: 20 | M: 5 | , 0.66, 0.66, 0.17, 0.66, 0.84, 1.00, 20.79, 0.04
abalon, XGBoost, 9, n_trees: 20 | M: 5 | , 0.68, 0.68, 0.16, 0.68, 0.84, 1.00, 10.44, 0.01
abalon, BROOF, 10, n_trees: 15 | M: 15 | , 0.66, 0.66, 0.17, 0.66, 0.83, 1.00, 23.32, 0.08
abalon, XGBoost, 10, n_trees: 15 | M: 15 | , 0.68, 0.67, 0.16, 0.68, 0.84, 1.00, 10.54, 0.00
acute-inflammation, BROOF, 1, n_trees: 10 | M: 5 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 5.54, 0.42
acute-inflammation, XGBoost, 1, n_trees: 10 | M: 5 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.47, 0.08
acute-inflammation, BROOF, 2, n_trees: 20 | M: 2 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 4.33, 0.33
acute-inflammation, XGBoost, 2, n_trees: 20 | M: 2 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.47, 0.08
acute-inflammation, BROOF, 3, n_trees: 20 | M: 15 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 6.59, 1.83
acute-inflammation, XGBoost, 3, n_trees: 20 | M: 15 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.47, 0.08
